TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,RangeW_Machine,HeartRate,PupilChange_Human,Reliability_Machine,Weather,AverageTrust_Human,TrustChange_Human,CurrentWheel_MachineDelta,Speed_Delta
34,5, ,autonomous,0,1,0,73.1906614786,1,0,2.3158984243,20,0,20,2.3158984243,1,14.1940165901,4.38,4.19,521.866193508, ,0, ,0,79,0.045,0,sunny,4.7624309392,0,-32.9743332693,1.2200418003
35,5, ,autonomous,0,1,0,74.0283817807,1,0,13.1497267016,20,0,20,13.1497267016,1,14.3584830171,5,4.34,509.8919029166, ,0, ,0,69,0.385,0,sunny,4.7624309392,0,-36.7261011777,1.1597005794
36,5, ,autonomous,0,1,0,73.9652094301,1,0,16.321091065,20,0,20,16.321091065,1,14.5137146183,4.85,4.68,470.9871891485, ,0, ,0,73,0.095,0,sunny,4.7624309392,0,-29.6446031597,1.0980683664
37,5, ,autonomous,0,1,0,73.9734493019,1,0,46.6357435499,20,0,20,46.6357435499,1,14.6465357343,4.61,4.57,415.7658406785,cyclist detected,32.3334465027,cyclist detected,27.5892066956,76,-0.175,0,sunny,4.7624309392,0,-61.8797529359,1.0337832379
38,5, ,autonomous,0,1,0,73.9926756695,1,0,3.7851142032,20,0,20,3.7851142032,1,14.8017993561,4.74,4.65,389.7571812761, ,0,cyclist detected,11.1310529709,76,0.105,0,sunny,4.7624309392,0,-16.6950479429,0.8334327378
39,5, ,autonomous,0,1,0,76.0251773861,1,0,-24.4843053818,20,0,20,-24.4843053818,1,14.9367826378,4.54,4.54,376.974403438, ,0, ,0,70,-0.155,0,sunny,4.7624309392,0,18.017124416,0.7356736291
40,5, ,autonomous,0,1,0,81.2547493706,1,0,-104.001347944,20,0,20,-104.001347944,1,15.0656843179,4.29,4.4,387.2666718302, ,0, ,0,84,-0.195,0,sunny,4.7624309392,0,96.9652019763,0.5687268236
41,5, ,autonomous,0,1,0,80.8949416342,1,0,-85.4552011458,20,0,20,-85.4552011458,1,15.1880451416,5,4.13,367.6200279391, ,0, ,0,75,0.22,0,sunny,4.7624309392,0,78.6606610979,0.4830206287
42,5, ,autonomous,0,1,0,80.8949416342,1,0,-45.144999633,20,0,20,-45.144999633,1,15.3040009383,4.01,3.89,344.4475062001, ,0, ,0,77,-0.615,0,sunny,4.7624309392,0,40.6050618434,0.3308889541
43,5, ,autonomous,0,1,0,80.8949416342,1,0,-30.658434845,20,0,20,-30.658434845,1,15.4140583904,5,3.76,354.333498689, ,0, ,0,83,0.43,0,sunny,4.7624309392,0,29.6730244029,0.2543214877
