Invariant,Avg,Prior,Ratio,Avg Observations,Avg A Samples,S24, S10, S25, S8, S21, S9, S6, S16, S14, S23, S22, S26, S13, S12, S15, S7, S17, S11, S27
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ),0.01580,0.00864,1.82889,19.00000,1.82889,0.21287,0.01576,0.00543,0.01465,0.0038,0.0,0.00282,0.0,0.01247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01255,0.01195,0.00793
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ),0.01395,0.00864,1.61440,128.00000,1.61440,0.13499,0.00464,0.0087,0.00517,0.0067,0.00848,0.00589,0.00895,0.00377,0.01009,0.00566,0.0084,0.00546,0.00768,0.00584,0.00994,0.00418,0.00939,0.01109
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ),0.01960,0.00864,2.26815,25.00000,2.26815,0.23378,0.02093,0.01017,0.02061,0.00535,0.00874,0.0191,0.00982,0.0,0.0,0.01381,0.0,0.0,0.0,0.0072,0.0073,0.01553,0.0,0.0
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ),0.00000,0.00864,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ),0.01454,0.00864,1.68324,15.00000,1.68324,0.17525,0.0,0.0,0.0,0.0,0.00567,0.0,0.0,0.00975,0.02194,0.00972,0.0,0.01571,0.0,0.01389,0.0,0.00994,0.00852,0.00593
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ),0.03053,0.00864,3.53363,4.00000,3.53363,0.23378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0613,0.0,0.0,0.02947,0.25553,0.0,0.0,0.0,0.0,0.0
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ),0.00000,0.00864,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ),0.01183,0.00864,1.36866,37.00000,1.36866,0.13461,0.0,0.0,0.0,0.00956,0.00918,0.0,0.00677,0.00709,0.00265,0.00999,0.0,0.00998,0.00735,0.01013,0.0,0.00453,0.0074,0.00544
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ),0.02054,0.00864,2.37683,8.00000,2.37683,0.28743,0.0,0.0,0.0,0.04895,0.01423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00789,0.0,0.03168,0.0,0.0
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ),0.00000,0.00864,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ),0.00000,0.00864,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ),0.00000,0.00864,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ),0.00000,0.00864,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ),0.00000,0.00864,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ),0.00000,0.00864,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ),0.00000,0.00864,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ),0.00555,0.00864,0.64187,2.00000,0.64187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10537,0.0,0.0
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ),0.00000,0.00864,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ),0.00000,0.00864,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ),0.00065,0.00864,0.07511,2.00000,0.07511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(EventW_Machine=EventW_Machine==truck detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ),0.02810,0.00864,3.25177,4.00000,3.25177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25094,0.0,0.0,0.0,0.0,0.0,0.0,0.28287,0.0,0.0,0.0,0.0
P(EventW_Machine=EventW_Machine==truck detected | Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ),0.01462,0.00864,1.69243,35.00000,1.69243,0.0,0.01289,0.0,0.0,0.01029,0.03611,0.01044,0.01896,0.0446,0.0,0.01519,0.05705,0.01012,0.0,0.01273,0.01241,0.0,0.02808,0.00896
P(EventW_Machine=EventW_Machine==truck detected | Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ),0.01801,0.00864,2.08480,145.00000,2.08480,0.16744,0.00836,0.00987,0.00772,0.00605,0.00758,0.01055,0.01059,0.01131,0.0091,0.01572,0.0076,0.01119,0.00838,0.01105,0.01118,0.01008,0.00872,0.00975
P(EventW_Machine=EventW_Machine==truck detected | Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ),0.02880,0.00864,3.33309,39.00000,3.33309,0.28232,0.01904,0.03599,0.03004,0.02631,0.0,0.01404,0.0,0.0,0.0,0.0,0.0,0.0,0.07211,0.0077,0.0065,0.02134,0.0,0.03177
P(EventW_Machine=EventW_Machine==truck detected | Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ),0.01520,0.00864,1.75902,19.00000,1.75902,0.20376,0.01576,0.00536,0.01444,0.00377,0.0,0.0028,0.0,0.01247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01204,0.01072,0.00764
P(EventW_Machine=EventW_Machine==truck detected | Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ),0.01379,0.00864,1.59637,128.00000,1.59637,0.13398,0.00456,0.00856,0.00509,0.00658,0.00834,0.00583,0.00875,0.00371,0.01001,0.00555,0.00828,0.00534,0.00755,0.00577,0.00978,0.00411,0.00927,0.011
P(EventW_Machine=EventW_Machine==truck detected | Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ),0.01926,0.00864,2.22911,25.00000,2.22911,0.23151,0.01985,0.0099,0.01966,0.00515,0.00854,0.01895,0.00969,0.0,0.0,0.01348,0.0,0.0,0.0,0.00704,0.00703,0.01513,0.0,0.0
P(EventW_Machine=EventW_Machine==truck detected | Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ),0.00000,0.00864,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(EventW_Machine=EventW_Machine==truck detected | Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ),0.01475,0.00864,1.70675,17.00000,1.70675,0.17146,0.0,0.0,0.0,0.0,0.00542,0.0,0.0,0.00718,0.02027,0.00865,0.0,0.0151,0.0,0.01281,0.0,0.02508,0.00852,0.00569
P(EventW_Machine=EventW_Machine==truck detected | Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ),0.02289,0.00864,2.64973,4.00000,2.64973,0.23378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05769,0.0,0.0,0.02947,0.11404,0.0,0.0,0.0,0.0,0.0
P(EventW_Machine=EventW_Machine==truck detected | Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ),0.00000,0.00864,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(EventW_Machine=EventW_Machine==truck detected | Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ),0.01123,0.00864,1.29952,39.00000,1.29952,0.12809,0.0,0.0,0.0,0.00908,0.00895,0.0,0.00622,0.009,0.00263,0.00895,0.0,0.00959,0.00472,0.0095,0.0,0.00419,0.0074,0.00501
P(EventW_Machine=EventW_Machine==truck detected | Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ),0.02198,0.00864,2.54368,12.00000,2.54368,0.28232,0.0,0.0,0.0,0.04225,0.01423,0.0,0.02577,0.0,0.0,0.0,0.0,0.0,0.0,0.02242,0.0,0.03058,0.0,0.0
P(EventW_Machine=EventW_Machine==truck detected | Speed_Machine=Speed_Machine<0 Mode_H2M=autonomous Trust_Human=Trust_Human<0 ),0.01130,0.00864,1.30744,10.00000,1.30744,0.11237,0.0,0.0,0.0,0.0,0.0188,0.00604,0.00546,0.02058,0.0,0.0,0.05138,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(EventW_Machine=EventW_Machine==truck detected | Speed_Machine=Speed_Machine<0 Mode_H2M=autonomous Trust_Human=Trust_Human==0 ),0.01394,0.00864,1.61391,94.00000,1.61391,0.14057,0.00294,0.00718,0.00503,0.00305,0.00411,0.00564,0.0102,0.01048,0.00584,0.01147,0.00586,0.00571,0.0053,0.00762,0.00803,0.00699,0.0102,0.00872
P(EventW_Machine=EventW_Machine==truck detected | Speed_Machine=Speed_Machine<0 Mode_H2M=autonomous Trust_Human=Trust_Human>0 ),0.00891,0.00864,1.03137,19.00000,1.03137,0.0,0.02084,0.0,0.03465,0.02056,0.0,0.00405,0.0,0.0,0.0,0.0,0.0,0.0,0.07169,0.01049,0.00703,0.0,0.0,0.0
P(EventW_Machine=EventW_Machine==truck detected | Speed_Machine=Speed_Machine<0 Mode_H2M=manual Trust_Human=Trust_Human<0 ),0.00000,0.00864,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(EventW_Machine=EventW_Machine==truck detected | Speed_Machine=Speed_Machine<0 Mode_H2M=manual Trust_Human=Trust_Human==0 ),0.01158,0.00864,1.34040,18.00000,1.34040,0.16212,0.0,0.0,0.0,0.0,0.01831,0.0,0.0,0.01026,0.00628,0.00353,0.0,0.00727,0.0,0.00657,0.0,0.0,0.0,0.0057
P(EventW_Machine=EventW_Machine==truck detected | Speed_Machine=Speed_Machine<0 Mode_H2M=manual Trust_Human=Trust_Human>0 ),0.00566,0.00864,0.65540,5.00000,0.65540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04901,0.0,0.0,0.0,0.0,0.02456,0.0,0.03402,0.0,0.0,0.0,0.0
P(EventW_Machine=EventW_Machine==truck detected | Speed_Machine=Speed_Machine==0 Mode_H2M=autonomous Trust_Human=Trust_Human<0 ),0.00557,0.00864,0.64431,12.00000,0.64431,0.0,0.0135,0.0,0.01811,0.0,0.00861,0.0,0.0,0.02637,0.0,0.01332,0.0,0.0,0.0,0.0,0.00931,0.01655,0.0,0.0
P(EventW_Machine=EventW_Machine==truck detected | Speed_Machine=Speed_Machine==0 Mode_H2M=autonomous Trust_Human=Trust_Human==0 ),0.01550,0.00864,1.79435,134.00000,1.79435,0.14529,0.00739,0.01037,0.00543,0.0084,0.01168,0.01141,0.00752,0.00411,0.00861,0.00808,0.00826,0.00891,0.00807,0.00795,0.00951,0.00353,0.00845,0.01159
P(EventW_Machine=EventW_Machine==truck detected | Speed_Machine=Speed_Machine==0 Mode_H2M=autonomous Trust_Human=Trust_Human>0 ),0.00713,0.00864,0.82481,23.00000,0.82481,0.0,0.01951,0.01832,0.02023,0.01275,0.0,0.01668,0.00441,0.0,0.0,0.0,0.0,0.0,0.0,0.00802,0.0,0.02352,0.0,0.01196
P(EventW_Machine=EventW_Machine==truck detected | Speed_Machine=Speed_Machine==0 Mode_H2M=manual Trust_Human=Trust_Human<0 ),0.00000,0.00864,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(EventW_Machine=EventW_Machine==truck detected | Speed_Machine=Speed_Machine==0 Mode_H2M=manual Trust_Human=Trust_Human==0 ),0.00889,0.00864,1.02900,5.00000,1.02900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03054,0.0,0.0,0.0,0.0,0.0,0.13838,0.0,0.0
P(EventW_Machine=EventW_Machine==truck detected | Speed_Machine=Speed_Machine==0 Mode_H2M=manual Trust_Human=Trust_Human>0 ),0.00000,0.00864,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(EventW_Machine=EventW_Machine==truck detected | Speed_Machine=Speed_Machine>0 Mode_H2M=autonomous Trust_Human=Trust_Human<0 ),0.03480,0.00864,4.02808,32.00000,4.02808,0.32031,0.02917,0.01165,0.00949,0.0249,0.01733,0.01102,0.0268,0.03252,0.0,0.03322,0.03165,0.0154,0.0,0.01672,0.00904,0.0,0.03665,0.03538
P(EventW_Machine=EventW_Machine==truck detected | Speed_Machine=Speed_Machine>0 Mode_H2M=autonomous Trust_Human=Trust_Human==0 ),0.02471,0.00864,2.85977,45.00000,2.85977,0.18406,0.01959,0.01222,0.02599,0.01187,0.00782,0.0,0.02138,0.0084,0.03214,0.01272,0.01672,0.01413,0.01933,0.00909,0.02684,0.02898,0.00598,0.0122
P(EventW_Machine=EventW_Machine==truck detected | Speed_Machine=Speed_Machine>0 Mode_H2M=autonomous Trust_Human=Trust_Human>0 ),0.06079,0.00864,7.03588,22.00000,7.03588,0.64673,0.0,0.08123,0.02555,0.03267,0.03258,0.06433,0.02116,0.0,0.0,0.08023,0.0,0.0,0.06424,0.0,0.01979,0.03286,0.0,0.05364
P(EventW_Machine=EventW_Machine==truck detected | Speed_Machine=Speed_Machine>0 Mode_H2M=manual Trust_Human=Trust_Human<0 ),0.00000,0.00864,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(EventW_Machine=EventW_Machine==truck detected | Speed_Machine=Speed_Machine>0 Mode_H2M=manual Trust_Human=Trust_Human==0 ),0.01321,0.00864,1.52894,33.00000,1.52894,0.14016,0.0,0.0,0.0,0.01402,0.00224,0.0,0.01015,0.00769,0.00837,0.01332,0.0,0.01488,0.00887,0.01375,0.0,0.0,0.01257,0.00497
P(EventW_Machine=EventW_Machine==truck detected | Speed_Machine=Speed_Machine>0 Mode_H2M=manual Trust_Human=Trust_Human>0 ),0.03561,0.00864,4.12195,11.00000,4.12195,0.40706,0.0,0.0,0.0,0.08263,0.0152,0.0,0.0,0.0,0.03921,0.0,0.0,0.0,0.0734,0.00977,0.0,0.04939,0.0,0.0
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ),1.00000,0.84472,1.18382,2303.00000,1.18382,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ),0.93135,0.84472,1.10255,14525.00000,1.10255,0.55329,1.0,1.0,1.0,0.98194,0.96015,0.99717,0.95342,0.94952,0.93467,0.91523,1.0,0.9098,0.95805,0.94311,0.94136,0.90655,0.8879,0.90341
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ),0.84350,0.84472,0.99855,2180.00000,0.99855,0.2344,0.87322,0.60561,0.91474,0.98861,0.96416,0.93433,0.93313,0.91841,0.74531,0.98879,1.0,0.83114,0.90181,0.87432,0.86016,0.83322,0.6915,0.93356
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ),1.00000,0.84472,1.18382,3181.00000,1.18382,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ),0.84817,0.84472,1.00408,17400.00000,1.00408,0.54162,0.91816,0.98611,1.0,0.90533,0.89604,0.91974,0.81688,0.88658,0.83855,0.79597,1.0,0.80987,0.83711,0.77542,0.80644,0.82373,0.80727,0.75033
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ),0.68505,0.84472,0.81097,2123.00000,0.81097,0.20203,0.34733,0.61105,0.58577,0.82711,0.92613,0.6391,0.89349,0.84707,0.55378,0.90776,1.0,0.54863,0.82792,0.67525,0.48374,0.64302,0.64369,0.853
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ),0.42105,0.84472,0.49845,13.00000,0.49845,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ),0.76157,0.84472,0.90156,34.00000,0.90156,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.64651,0.66214,1.0,0.36713,1.0,0.0,1.0,0.36047,1.0,0.4335
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ),0.40809,0.84472,0.48311,14.00000,0.48311,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75375
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ),1.00000,0.84472,1.18382,181.00000,1.18382,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ),0.83100,0.84472,0.98376,342.00000,0.98376,0.6006,1.0,1.0,1.0,1.0,0.72108,0.49635,0.67865,0.93839,0.85407,0.88023,1.0,0.84579,0.82119,0.71775,0.85419,0.7978,0.82925,0.75375
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ),0.74263,0.84472,0.87914,108.00000,0.87914,1.0,0.31167,1.0,1.0,0.88477,0.88579,0.89868,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.91581,0.54964,0.66362,1.0,1.0
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ),0.68421,0.84472,0.80998,90.00000,0.80998,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ),0.87084,0.84472,1.03092,209.00000,1.03092,0.31872,1.0,1.0,1.0,1.0,0.97896,1.0,0.74517,0.79824,1.0,0.74617,1.0,0.95868,1.0,1.0,1.0,1.0,1.0,0.0
P(Mode_H2M=autonomous | CurrentBrake_Machine=CurrentBrake_Machine==0 EventW_Machine=EventW_Machine==false alarm CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ),0.52033,0.84472,0.61598,21.00000,0.61598,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.88633,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
